district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status
Siddipet,Chinnakodur,Ramuni Patta,TELANGANA ICE FACTORY,"Chilling plant, cold storage and ice making",Agro based incl Cold Storages,0.4644,1,31/07/2025,01/09/2025,Yet to Start Construction,Yes,General
Peddapalli,Srirampur,Rathupalle,M/S TIRUMALA OIL CHEM INDIA PVT LTD,Oil mill ghani & extraction ( no hydrogenation / refining),Food Processing,2.45,80,01/03/2025,01/09/2025,Yet to Start Construction,Yes,General
Nagarkurnool,Nagarkurnool,Sripuram,"M/S Shreeskanda Infratech Private Limited.,",Stone crushers,Granite and Stone Crushing,1.1,20,22/08/2025,01/09/2025,Yet to Start Construction,Yes,General
Medchal,Uppal,Nacharam,M/s. SALICYLATES & CHEMICALS PVT. LTD,Pharmaceutical Formulation and for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,3.3,6,16/07/2025,01/09/2025,Yet to Start Construction,Yes,General
Vikarabad,Kodangal,Udimeswar,VIJAYA LAKSHMI INDUSTRIES,Cement,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.4318,20,13/08/2025,30/08/2025,Yet to Start Construction,Yes,General
Yadadri,Bibinagar,Rairaopet,SRI MARUTHI ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.9628,5,30/07/2025,30/08/2025,Yet to Start Construction,Yes,General
Medchal,Dundigal Gandimaisamma,Dundigal,M/S. SARGARI JEEVENDER REDDY,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,6,28/08/2025,30/08/2025,Yet to Start Construction,Yes,General
Medchal,Medchal,Yadaram,GEEAAR POLY PACK,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,7.7,8,14/08/2025,29/08/2025,Yet to Start Construction,Yes,General
Mahabubabad,Maripeda,Maripeda,HEMADURGA RICE INDUSTRIES,Rice mill (Rice hullers only),Food Processing,8.9939,12,19/08/2025,29/08/2025,Yet to Start Construction,Yes,General
Nalgonda,Chityala,Veliminedu,CiVentiChem (India) Private Limited,Organic Chemicalsmanufacturing,Pharmaceuticals and Chemicals,10.0,150,10/02/2025,29/08/2025,Yet to Start Construction,Yes,General
Nalgonda,Miryalaguda,Gudur,RAMAIAH TRACTOR MECHANICAL WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.1499,2,04/08/2025,29/08/2025,Yet to Start Construction,Yes,OBC
Rangareddy,Balapur,Nadargul,DHANASRI TIMBER DEPOT,Saw mills,Wood and Leather,0.25,10,15/08/2025,29/08/2025,Yet to Start Construction,Yes,General
Rangareddy,Nandigama,Nandigama,MANISH KUMAR,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,2.15,5,09/07/2025,29/08/2025,Yet to Start Construction,Yes,General
Warangal,Duggondi,Mandapalle,LAXMI SAI BINNY RICE MILL,Rice mill (Rice hullers only),Food Processing,2.1,1,13/08/2025,28/08/2025,Yet to Start Construction,Yes,OBC
Medchal,Kapra,Cherlaparly,DAISA BIOPHARMA,Pharmaceutical Formulation and for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,0.25,10,04/08/2025,28/08/2025,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. HARMEETH SHEET METAL & FABRICATION WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,4,21/08/2025,28/08/2025,Yet to Start Construction,Yes,General
Warangal,Chennaraopet,Chennaraopet,M/s SHIVA UDAY TRADERS,Flour mills (dry process),Food Processing,0.45,9,25/08/2025,28/08/2025,Yet to Start Construction,Yes,SC
Warangal,Nallabelly,Lenkalpalle,VIJAYA LAXMI CEMENT FLYASH BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1447,2,18/08/2025,28/08/2025,Yet to Start Construction,Yes,OBC
Warangal,Geesugonda,Gorrekunta (Rural),M/s SAI SRINIVASA COLD STORAGE,"Chilling plant, cold storage and ice making",Agro based incl Cold Storages,8.8,10,16/05/2025,26/08/2025,Yet to Start Construction,Yes,General
Rangareddy,Farooqnagar,Raikal,BIRLA METALS & ALLOYS LLP,"Industries engaged in recycling /reprocessing/ recovery/reuse ofHazardous Waste under schedule iv of HW{ M, H& TBM) rules, 2008 -items namely -Lead acid battery plates and otherlead scrap/ashes/residues notcovered under Batteries (Management and Handling) Rules, 2001. [ * Battery scrap, namely:Lead battery plates covered by ISRI, Code word ""Rails"" Battery lugscovered by ISR1, Code word ""Rakes"". Scrap drained/dry while intact, lead batteries covered by ISRI, Code word ""rains"".",Pharmaceuticals and Chemicals,10.0,2,25/07/2025,26/08/2025,Yet to Start Construction,Yes,General
Nirmal,Kaddam (Peddur),Bellal,M/s. VAYUPUTRA RAW RICE MILL,Rice mill (Rice hullers only),Food Processing,0.75,12,08/08/2025,26/08/2025,Yet to Start Construction,Yes,OBC
Medchal,Qutubullapur,Bowrampet,LUVIT INTERIOR DESIGN STUDIO,Aluminium utensils from aluminium circles by pressing only (dry mechanical operation),Engineering,0.1,10,23/08/2025,26/08/2025,Yet to Start Construction,Yes,OBC
Mahabubabad,Kesamudram,Tallapoosapalle,M/s GREEN FIELD AGRO INDUSTRIES,Rice mill (Rice hullers only),Food Processing,1.15,9,06/08/2025,26/08/2025,Yet to Start Construction,Yes,OBC
Nalgonda,Narketpalle,Thondalvai,M/s. SRI SHIVA SAI VINAYAKA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.7,15,23/08/2025,26/08/2025,Yet to Start Construction,Yes,General
Bhupalpally,Chityal,Nain Paka,M/S SUVEN AGRO INDUSTRIES PRIVATE LIMITED,Vegetable oil manufacturing solvent extraction and refinery /hydrogenated oils,Food Processing,41.69,50,12/08/2025,26/08/2025,Yet to Start Construction,Yes,General
Sangareddy,Jinnaram,Alinagar,M/S SD ENTERPRISES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,4.5,10,04/05/2024,25/08/2025,Yet to Start Construction,Yes,General
Vikarabad,Pudur,Manneguda (Sarecas),KU-DAS PIPES AND FITTINGS,Rubber goods industry (with gas operated baby boiler),Plastic and Rubber,0.223,10,21/08/2025,25/08/2025,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,BHAGYANAGAR STEEL INDUSTRIES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.55,10,24/07/2025,25/08/2025,Yet to Start Construction,Yes,OBC
