district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status
SIDDIPET,CHINNAKODUR,RAMUNI PATTA,TELANGANA ICE FACTORY,"CHILLING PLANT, COLD STORAGE AND ICE MAKING",AGRO BASED INCL COLD STORAGES,0.4644,1,31/07/2025,01/09/2025,YET TO START CONSTRUCTION,YES,GENERAL
PEDDAPALLI,SRIRAMPUR,RATHUPALLE,M/S TIRUMALA OIL CHEM INDIA PVT LTD,OIL MILL GHANI & EXTRACTION ( NO HYDROGENATION / REFINING),FOOD PROCESSING,2.45,80,01/03/2025,01/09/2025,YET TO START CONSTRUCTION,YES,GENERAL
NAGARKURNOOL,NAGARKURNOOL,SRIPURAM,"M/S SHREESKANDA INFRATECH PRIVATE LIMITED.,",STONE CRUSHERS,GRANITE AND STONE CRUSHING,1.1,20,22/08/2025,01/09/2025,YET TO START CONSTRUCTION,YES,GENERAL
MEDCHAL,UPPAL,NACHARAM,M/S. SALICYLATES & CHEMICALS PVT. LTD,PHARMACEUTICAL FORMULATION AND FOR R & D PURPOSE (FOR SUSTAINED RELEASE/EXTENDED RELEASE OF DRUGS ONLY AND NOT FOR COMMERCIAL PURPOSE),R&D,3.3,6,16/07/2025,01/09/2025,YET TO START CONSTRUCTION,YES,GENERAL
VIKARABAD,KODANGAL,UDIMESWAR,VIJAYA LAKSHMI INDUSTRIES,CEMENT,"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",2.4318,20,13/08/2025,30/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
YADADRI,BIBINAGAR,RAIRAOPET,SRI MARUTHI ENGINEERING WORKS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.9628,5,30/07/2025,30/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MEDCHAL,DUNDIGAL GANDIMAISAMMA,DUNDIGAL,M/S. SARGARI JEEVENDER REDDY,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.25,6,28/08/2025,30/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MEDCHAL,MEDCHAL,YADARAM,GEEAAR POLY PACK,CARDBOARD OR CORRUGATED BOX AND PAPER PRODUCTS (EXCLUDING PAPER OR PULP MANUFACTURING AND WITHOUT USING BOILERS),PAPER AND PRINTING,5.72725,8,14/08/2025,29/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MAHABUBABAD,MARIPEDA,MARIPEDA,HEMADURGA RICE INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,5.72725,12,19/08/2025,29/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
CHITYALA,VELIMINEDU,CIVENTICHEM (INDIA) PRIVATE LIMITED,ORGANIC CHEMICALSMANUFACTURING,PHARMACEUTICALS AND CHEMICALS,10.0,5.72725,10/02/2025,29/08/2025,YET TO START CONSTRUCTION,YES,GENERAL,GENERAL
NALGONDA,MIRYALAGUDA,GUDUR,RAMAIAH TRACTOR MECHANICAL WORKS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.1499,2,04/08/2025,29/08/2025,YET TO START CONSTRUCTION,YES,OBC
RANGAREDDY,BALAPUR,NADARGUL,DHANASRI TIMBER DEPOT,SAW MILLS,WOOD AND LEATHER,0.25,10,15/08/2025,29/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
RANGAREDDY,NANDIGAMA,MANISH KUMAR,"FACILITY OF HANDLING, STORAGE AND TRANSPORTATION OF FOOD GRAINS IN BULK",AGRO BASED INCL COLD STORAGES,2.15,5.0,09/07/2025,29/08/2025,YET TO START CONSTRUCTION,YES,GENERAL,GENERAL
WARANGAL,DUGGONDI,MANDAPALLE,LAXMI SAI BINNY RICE MILL,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,2.1,1,13/08/2025,28/08/2025,YET TO START CONSTRUCTION,YES,OBC
MEDCHAL,KAPRA,CHERLAPARLY,DAISA BIOPHARMA,PHARMACEUTICAL FORMULATION AND FOR R & D PURPOSE (FOR SUSTAINED RELEASE/EXTENDED RELEASE OF DRUGS ONLY AND NOT FOR COMMERCIAL PURPOSE),R&D,0.25,10,04/08/2025,28/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
MEDCHAL,QUTUBULLAPUR,JEEDIMETLA,M/S. HARMEETH SHEET METAL & FABRICATION WORKS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.25,4,21/08/2025,28/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
WARANGAL,CHENNARAOPET,CHENNARAOPET,M/S SHIVA UDAY TRADERS,FLOUR MILLS (DRY PROCESS),FOOD PROCESSING,0.45,9,25/08/2025,28/08/2025,YET TO START CONSTRUCTION,YES,SC
WARANGAL,NALLABELLY,LENKALPALLE,VIJAYA LAXMI CEMENT FLYASH BRICKS,FLY ASH BRICKS/ BLOCK MANUFACTURING,"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",0.1447,2,18/08/2025,28/08/2025,YET TO START CONSTRUCTION,YES,OBC
WARANGAL,GEESUGONDA,GORREKUNTA (RURAL),M/S SAI SRINIVASA COLD STORAGE,"CHILLING PLANT, COLD STORAGE AND ICE MAKING",AGRO BASED INCL COLD STORAGES,5.72725,10,16/05/2025,26/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
RANGAREDDY,FAROOQNAGAR,RAIKAL,BIRLA METALS & ALLOYS LLP,"INDUSTRIES ENGAGED IN RECYCLING /REPROCESSING/ RECOVERY/REUSE OFHAZARDOUS WASTE UNDER SCHEDULE IV OF HW{ M, H& TBM) RULES, 2008 -ITEMS NAMELY -LEAD ACID BATTERY PLATES AND OTHERLEAD SCRAP/ASHES/RESIDUES NOTCOVERED UNDER BATTERIES (MANAGEMENT AND HANDLING) RULES, 2001. [ * BATTERY SCRAP, NAMELY:LEAD BATTERY PLATES COVERED BY ISRI, CODE WORD ""RAILS"" BATTERY LUGSCOVERED BY ISR1, CODE WORD ""RAKES"". SCRAP DRAINED/DRY WHILE INTACT, LEAD BATTERIES COVERED BY ISRI, CODE WORD ""RAINS"".",PHARMACEUTICALS AND CHEMICALS,5.72725,2,25/07/2025,26/08/2025,YET TO START CONSTRUCTION,YES,GENERAL
