licensetype,licensename,name_frim,license_validity,constitution_particulars,mfg_districtname,mfg_mandalname,mfg_villagename
NDPS,NDPS-2,M/S. ARK PHARMACY (IN THE PREMISES OF RIVEA VASCULAR INSTITUTE),31/12/2025,Partnership,RANGA REDDY,Serilingampally,Gachibowli
NDPS,NDPS-2,MARWELLUS PHARMACY (A UNIT Y.S HITECH HEALTHCARE SERVICES PRIVATE LIMITED) (INSIDE THE PREMIS),31/12/2025,Private Ltd Company,MEDCHAL - MALKAJGIRI,Kukatpally,Moosapet
NDPS,NDPS-2,M/s JIMS PHARMACY (A UNIT OF SRIRAHAT MEDICARE PVT. LTD.),31/12/2025,Private Ltd Company,RANGA REDDY,Shamshabad,Muchintal
NDPS,NDPS-2,SMART VISION EYE SPECIALITIES PRIVATE LIMITED,31/12/2025,Private Ltd Company,HYDERABAD,Ameerpet, Srinagar Colony
NDPS,NDPS-2,OM SAI VASU MEDICALS,31/12/2025,Proprietary,HYDERABAD,Vengalrao Nagar,Vengalraonagar
NDPS,NDPS-2,M/s MAX HEALTH PHARMACY (IN THE PREMISES OF MY HEALTH HOSPITALS),31/12/2025,Partnership,HYDERABAD,Secunderabad,Tarnaka
NDPS,NDPS-2,EASHWAR LAKSHMI PHARMACY,31/12/2025,Proprietary,HYDERABAD,Abids,Gandhinagar
NDPS,NDPS-2,ADARSHA PHARMACY,31/12/2025,Partnership,KARIMNAGAR,Karimnagar,Karimnagar
NDPS,NDPS-2,M/s. CURELY PHARMACY(A UNIT OF RASIMO LIFE SCIENCES PRIVATE LIMITED),31/12/2025,Private Ltd Company,HYDERABAD,Ameerpet,Ameerpet
NDPS,NDPS-2,M/S. DEEKSHANI MEDICALS( IN THE PREMISES OF SV POOJA HOSPITAL),31/12/2025,Proprietary,MEDCHAL - MALKAJGIRI,Kukatpally,Hydernagar
NDPS,NDPS-2,M/S SIDVIN PHARMACY,31/12/2025,Proprietary,MEDCHAL - MALKAJGIRI,Kukatpally,Kukatpally
NDPS,NDPS-2,M/s. NEW MOHONIA PHARMACY ( INSIDE MAHONIA MULTISPECIALITY HOSPITAL),31/12/2025,Proprietary,RANGA REDDY,Abdullapurmet,Manneguda
NDPS,NDPS-2,KHUSHI PHARMACY(IN THE PREMISE OF M/S. KHUSHI HOSPITAL( A UNIT OF M/S  GENEZEN HOSPITALS PVT LTD ),31/12/2025,Partnership,RANGA REDDY,Balapur,Meerpet
NDPS,NDPS-2,VENNELA PHARMACY,31/12/2025,Proprietary,MEDCHAL - MALKAJGIRI,Balanagar,Oldbowenpally
NDPS,NDPS-2,LOTUS HOSPITALS (A UNIT OF SRI VISWA MEDICARE LIMITED),31/12/2025,Limited Company,RANGA REDDY,Serilingampally,Miyapur
NDPS,NDPS-2,M/s MAGNAID PHARMACY IN THE PREMISES OF OF MAGNAID HOSPITALS PRIVATE LIMITED,31/12/2025,Private Ltd Company,HYDERABAD,Vengalrao Nagar,Yellareddyguda
NDPS,NDPS-2,KADIMI PHARMACY (IN THE PREMISES OF KADIMI NURSING HOME),31/12/2025,Proprietary,RANGA REDDY,Serilingampally,Chandanagar
NDPS,NDPS-2,KBK PHARMACY (IN THE PREMISES OF KBK MULTI SPECIALITY HOSPITAL),31/12/2025,Partnership,RANGA REDDY,Saroornagar,Bairamalguda
