district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status,investment_standardized,district_name_encoded,mandal_name_encoded,village_name_encoded,name_of_the_unit_encoded,line_of_activity_encoded,sector_encoded,number_of_employees_encoded,application_date_encoded,approval_date_encoded,progress_of_implementation_encoded,is_online_encoded,social_status_encoded,application_date_year,application_date_month,application_date_day,application_date_dayofweek,approval_date_year,approval_date_month,approval_date_day,approval_date_dayofweek,application_date_encoded_year,application_date_encoded_month,application_date_encoded_day,application_date_encoded_dayofweek,approval_date_encoded_year,approval_date_encoded_month,approval_date_encoded_day,approval_date_encoded_dayofweek
SIDDIPET,CHINNAKODUR,RAMUNI PATTA,TELANGANA ICE FACTORY,"CHILLING PLANT, COLD STORAGE AND ICE MAKING",AGRO BASED INCL COLD STORAGES,0.4644,1,2025-07-31,2025-01-09,YET TO START CONSTRUCTION,YES,GENERAL,-0.6292415702143636,0,0,0,0,0,0,0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,0,0,0,2025,7,31,3,2025.0,1.0,9.0,3.0,1970,1,1,3,1970,1,1,3
PEDDAPALLI,SRIRAMPUR,RATHUPALLE,M/S TIRUMALA OIL CHEM INDIA PVT LTD,OIL MILL GHANI & EXTRACTION ( NO HYDROGENATION / REFINING),FOOD PROCESSING,2.45,80,2025-03-01,2025-01-09,YET TO START CONSTRUCTION,YES,GENERAL,0.42261639801580914,1,1,1,1,1,1,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,0,0,0,2025,3,1,5,2025.0,1.0,9.0,3.0,1970,1,1,3,1970,1,1,3
NAGARKURNOOL,NAGARKURNOOL,SRIPURAM,"M/S SHREESKANDA INFRATECH PRIVATE LIMITED.,",STONE CRUSHERS,GRANITE AND STONE CRUSHING,1.1,20,2025-08-22,2025-01-09,YET TO START CONSTRUCTION,YES,GENERAL,-0.2925368338086938,2,2,2,2,2,2,2,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000000,0,0,0,2025,8,22,4,2025.0,1.0,9.0,3.0,1970,1,1,3,1970,1,1,3
MEDCHAL,UPPAL,NACHARAM,M/S. SALICYLATES & CHEMICALS PVT. LTD,PHARMACEUTICAL FORMULATION AND FOR R & D PURPOSE (FOR SUSTAINED RELEASE/EXTENDED RELEASE OF DRUGS ONLY AND NOT FOR COMMERCIAL PURPOSE),R&D,3.3,6,2025-07-16,2025-01-09,YET TO START CONSTRUCTION,YES,GENERAL,0.8728980624979034,3,3,3,3,3,3,3,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000000,0,0,0,2025,7,16,2,2025.0,1.0,9.0,3.0,1970,1,1,3,1970,1,1,3
VIKARABAD,KODANGAL,UDIMESWAR,VIJAYA LAKSHMI INDUSTRIES,CEMENT,"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",2.4318,20,2025-08-13,,YET TO START CONSTRUCTION,YES,GENERAL,0.41297507296454533,4,4,4,4,4,4,2,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000001,0,0,0,2025,8,13,2,,,,,1970,1,1,3,1970,1,1,3
YADADRI,BIBINAGAR,RAIRAOPET,SRI MARUTHI ENGINEERING WORKS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.9628,5,2025-07-30,,YET TO START CONSTRUCTION,YES,GENERAL,-0.36521759188745073,5,5,5,5,5,5,4,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000001,0,0,0,2025,7,30,2,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,DUNDIGAL GANDIMAISAMMA,DUNDIGAL,M/S. SARGARI JEEVENDER REDDY,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.25,6,2025-08-28,,YET TO START CONSTRUCTION,YES,GENERAL,-0.7428184982907882,3,6,6,6,5,5,3,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,0,0,0,2025,8,28,3,,,,,1970,1,1,3,1970,1,1,3
MEDCHAL,MEDCHAL,YADARAM,GEEAAR POLY PACK,CARDBOARD OR CORRUGATED BOX AND PAPER PRODUCTS (EXCLUDING PAPER OR PULP MANUFACTURING AND WITHOUT USING BOILERS),PAPER AND PRINTING,5.72725,8,2025-08-14,,YET TO START CONSTRUCTION,YES,GENERAL,2.158717086161625,3,7,7,7,6,6,5,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000002,0,0,0,2025,8,14,3,,,,,1970,1,1,3,1970,1,1,3
MAHABUBABAD,MARIPEDA,MARIPEDA,HEMADURGA RICE INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,5.72725,12,2025-08-19,,YET TO START CONSTRUCTION,YES,GENERAL,2.158717086161625,6,8,8,8,7,1,6,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000002,0,0,0,2025,8,19,1,,,,,1970,1,1,3,1970,1,1,3
CHITYALA,VELIMINEDU,CIVENTICHEM (INDIA) PRIVATE LIMITED,ORGANIC CHEMICALSMANUFACTURING,PHARMACEUTICALS AND CHEMICALS,10.0,5.72725,10/02/2025,2025-08-29,,YES,GENERAL,GENERAL,2.158717086161625,7,9,9,9,8,7,7,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000003,1,1,0,2025,8,29,4,,,,,1970,1,1,3,1970,1,1,3
NALGONDA,MIRYALAGUDA,GUDUR,RAMAIAH TRACTOR MECHANICAL WORKS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.1499,2,2025-08-04,,YET TO START CONSTRUCTION,YES,OBC,-0.7958457860727385,8,10,10,10,5,5,8,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000002,0,0,1,2025,8,4,0,,,,,1970,1,1,3,1970,1,1,3
RANGAREDDY,BALAPUR,NADARGUL,DHANASRI TIMBER DEPOT,SAW MILLS,WOOD AND LEATHER,0.25,10,2025-08-15,,YET TO START CONSTRUCTION,YES,GENERAL,-0.7428184982907882,9,11,11,11,9,8,9,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000002,0,0,0,2025,8,15,4,,,,,1970,1,1,3,1970,1,1,3
RANGAREDDY,NANDIGAMA,MANISH KUMAR,"FACILITY OF HANDLING, STORAGE AND TRANSPORTATION OF FOOD GRAINS IN BULK",AGRO BASED INCL COLD STORAGES,2.15,5.0,09/07/2025,2025-08-29,,YES,GENERAL,GENERAL,1.7734613914620923,9,12,12,12,10,9,10,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000003,1,1,0,2025,8,29,4,,,,,1970,1,1,3,1970,1,1,3
