district_name,mandal_name,village_name,name_of_the_unit,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,is_online,social_status,investment_standardized,number_of_employees_standardized,district_name_encoded,mandal_name_encoded,village_name_encoded,name_of_the_unit_encoded,line_of_activity_encoded,sector_encoded,application_date_encoded,approval_date_encoded,progress_of_implementation_encoded,is_online_encoded,social_status_encoded,application_date_year,application_date_month,application_date_day,application_date_dayofweek,approval_date_year,approval_date_month,approval_date_day,approval_date_dayofweek,application_date_encoded_year,application_date_encoded_month,application_date_encoded_day,application_date_encoded_dayofweek,approval_date_encoded_year,approval_date_encoded_month,approval_date_encoded_day,approval_date_encoded_dayofweek,investment_category,investment_intensity,investment_zero_indicator,number_of_employees_category,number_of_employees_intensity,number_of_employees_zero_indicator,investment_standardized_category,investment_standardized_intensity,investment_standardized_zero_indicator,number_of_employees_standardized_category,number_of_employees_standardized_intensity,number_of_employees_standardized_zero_indicator,district_name_encoded_category,district_name_encoded_intensity,district_name_encoded_zero_indicator,mandal_name_encoded_category,mandal_name_encoded_intensity,mandal_name_encoded_zero_indicator,village_name_encoded_category,village_name_encoded_intensity,village_name_encoded_zero_indicator,name_of_the_unit_encoded_category,name_of_the_unit_encoded_intensity,name_of_the_unit_encoded_zero_indicator,line_of_activity_encoded_category,line_of_activity_encoded_intensity,line_of_activity_encoded_zero_indicator,sector_encoded_category,sector_encoded_intensity,sector_encoded_zero_indicator,progress_of_implementation_encoded_category,progress_of_implementation_encoded_intensity,progress_of_implementation_encoded_zero_indicator,is_online_encoded_category,is_online_encoded_intensity,is_online_encoded_zero_indicator,social_status_encoded_category,social_status_encoded_intensity,social_status_encoded_zero_indicator,approval_date_year_category,approval_date_year_intensity,approval_date_year_zero_indicator,approval_date_month_category,approval_date_month_intensity,approval_date_month_zero_indicator,approval_date_day_category,approval_date_day_intensity,approval_date_day_zero_indicator,approval_date_dayofweek_category,approval_date_dayofweek_intensity,approval_date_dayofweek_zero_indicator,investment_group_mean_x,investment_group_sum_x,investment_group_count_x,number_of_employees_group_mean_x,number_of_employees_group_sum_x,number_of_employees_group_count_x,investment_standardized_group_mean_x,investment_standardized_group_sum_x,investment_standardized_group_count_x,investment_group_mean_y,investment_group_sum_y,investment_group_count_y,number_of_employees_group_mean_y,number_of_employees_group_sum_y,number_of_employees_group_count_y,investment_standardized_group_mean_y,investment_standardized_group_sum_y,investment_standardized_group_count_y,investment_group_mean,investment_group_sum,investment_group_count,number_of_employees_group_mean,number_of_employees_group_sum,number_of_employees_group_count,investment_standardized_group_mean,investment_standardized_group_sum,investment_standardized_group_count
SIDDIPET,CHINNAKODUR,RAMUNI PATTA,TELANGANA ICE FACTORY,"CHILLING PLANT, COLD STORAGE AND ICE MAKING",AGRO BASED INCL COLD STORAGES,0.4644,1,2025-07-31,2025-01-09,YET TO START CONSTRUCTION,YES,GENERAL,-0.24405044176453397,-0.38844870034979195,0,0,0,0,0,0,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,0,0,0,2025,7,31,3,2025.0,1.0,9.0,3.0,1970,1,1,3,1970,1,1,3,Medium-Low,0.1295055306210644,0,Low,0.05275080906148867,0,Medium-Low,2454167027537379.5,0,Low,3.082757187136258e+16,0,Low,0.0,1,Low,0.0,1,Low,0.0,1,Low,0.0,1,Low,0.0,1,Low,0.0,1,Low,,1,Low,,1,Low,0.0,1,Low,1.0,0,Low,0.16666666666666666,0,Medium-Low,1.1173469387755102,0,Medium-Low,1.0579710144927537,0,0.6721125,5.3769,8,9.375,75,8,-0.22781095426058345,-1.8224876340846676,8,0.4644,0.4644,1,1.0,1,1,-0.24405044176453397,-0.24405044176453397,1,0.4644,0.4644,1,1.0,1,1,-0.24405044176453397,-0.24405044176453397,1
PEDDAPALLI,SRIRAMPUR,RATHUPALLE,M/S TIRUMALA OIL CHEM INDIA PVT LTD,OIL MILL GHANI & EXTRACTION ( NO HYDROGENATION / REFINING),FOOD PROCESSING,2.45,80,2025-03-01,2025-01-09,YET TO START CONSTRUCTION,YES,GENERAL,-0.08881122222866525,1.320486699173362,1,1,1,1,1,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,0,0,0,2025,3,1,5,2025.0,1.0,9.0,3.0,1970,1,1,3,1970,1,1,3,High,0.6832225452661667,0,High,4.2200647249190935,0,High,893084116926844.1,0,High,-1.0479478651180653e+17,0,Low,0.09240362811791383,0,Low,0.021890948160085955,0,Low,0.01614820685555776,0,Low,0.012345679012345678,0,Low,0.058402006449301325,0,Low,0.22027027027027024,0,Low,,1,Low,,1,Low,0.0,1,Low,1.0,0,Low,0.16666666666666666,0,Medium-Low,1.1173469387755102,0,Medium-Low,1.0579710144927537,0,0.905,3.62,4,25.25,101,4,-0.2096032217164358,-0.8384128868657432,4,2.45,2.45,1,80.0,80,1,-0.08881122222866525,-0.08881122222866525,1,2.45,2.45,1,80.0,80,1,-0.08881122222866525,-0.08881122222866525,1
NAGARKURNOOL,NAGARKURNOOL,SRIPURAM,"M/S SHREESKANDA INFRATECH PRIVATE LIMITED.,",STONE CRUSHERS,GRANITE AND STONE CRUSHING,1.1,20,2025-08-22,2025-01-09,YET TO START CONSTRUCTION,YES,GENERAL,-0.1943576295480764,0.02256107928235895,2,2,2,2,2,2,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000000,0,0,0,2025,8,22,4,2025.0,1.0,9.0,3.0,1970,1,1,3,1970,1,1,3,Medium-High,0.3067529795072585,0,High,1.0550161812297734,0,Medium-High,1954456966103023.8,0,High,-1790463689146443.5,0,Low,0.18480725623582767,0,Low,0.04378189632017191,0,Low,0.03229641371111552,0,Low,0.024691358024691357,0,Low,0.11680401289860265,0,Medium-Low,0.4405405405405405,0,Low,,1,Low,,1,Low,0.0,1,Low,1.0,0,Low,0.16666666666666666,0,Medium-Low,1.1173469387755102,0,Medium-Low,1.0579710144927537,0,1.1,1.1,1,20.0,20,1,-0.1943576295480764,-0.1943576295480764,1,1.1,1.1,1,20.0,20,1,-0.1943576295480764,-0.1943576295480764,1,1.1,1.1,1,20.0,20,1,-0.1943576295480764,-0.1943576295480764,1
MEDCHAL,UPPAL,NACHARAM,M/S. SALICYLATES & CHEMICALS PVT. LTD,PHARMACEUTICAL FORMULATION AND FOR R & D PURPOSE (FOR SUSTAINED RELEASE/EXTENDED RELEASE OF DRUGS ONLY AND NOT FOR COMMERCIAL PURPOSE),R&D,3.3,6,2025-07-16,2025-01-09,YET TO START CONSTRUCTION,YES,GENERAL,-0.02235607687940642,-0.2802882320255417,3,3,3,3,3,3,1970-01-01 00:00:00.000000003,1970-01-01 00:00:00.000000000,0,0,0,2025,7,16,2,2025.0,1.0,9.0,3.0,1970,1,1,3,1970,1,1,3,High,0.9202589385217753,0,Medium-Low,0.31650485436893205,0,High,224812323001101.78,0,Medium-Low,2.2243878302807576e+16,0,Low,0.2772108843537415,0,Low,0.06567284448025786,0,Low,0.04844462056667327,0,Low,0.037037037037037035,0,Low,0.17520601934790397,0,Medium-Low,0.6608108108108107,0,Low,,1,Low,,1,Low,0.0,1,Low,1.0,0,Low,0.16666666666666666,0,Medium-Low,1.1173469387755102,0,Medium-Low,1.0579710144927537,0,1.8676578947368423,35.4855,19,18.42105263157895,350,19,-0.13434019781484946,-2.5524637584821397,19,1.825,3.65,2,8.0,16,2,-0.1376752996913556,-0.2753505993827112,2,1.825,3.65,2,8.0,16,2,-0.1376752996913556,-0.2753505993827112,2
VIKARABAD,KODANGAL,UDIMESWAR,VIJAYA LAKSHMI INDUSTRIES,CEMENT,"CEMENT, CEMENT & CONCRETE PRODUCTS, FLY ASH BRICKS",2.4318,20,2025-08-13,,YET TO START CONSTRUCTION,YES,GENERAL,-0.09023414416437882,0.02256107928235895,4,4,4,4,4,4,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000001,0,0,0,2025,8,13,2,,,,,1970,1,1,3,1970,1,1,3,High,0.6781471777870465,0,High,1.0550161812297734,0,High,907392995337960.2,0,High,-1790463689146443.5,0,Low,0.36961451247165533,0,Low,0.08756379264034382,0,Low,0.06459282742223103,0,Low,0.04938271604938271,0,Low,0.2336080257972053,0,Medium-Low,0.881081081081081,0,Low,,1,Low,,1,Low,0.0,1,,,0,,,0,,,0,,,0,0.9162399999999999,4.5812,5,9.4,47,5,-0.20872445014734678,-1.0436222507367339,5,2.4318,2.4318,1,20.0,20,1,-0.09023414416437882,-0.09023414416437882,1,2.4318,2.4318,1,20.0,20,1,-0.09023414416437882,-0.09023414416437882,1
YADADRI,BIBINAGAR,RAIRAOPET,SRI MARUTHI ENGINEERING WORKS,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.9628,5,2025-07-30,,YET TO START CONSTRUCTION,YES,GENERAL,-0.20508427183268618,-0.3019203256903918,5,5,5,5,5,5,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000001,0,0,0,2025,7,30,2,,,,,1970,1,1,3,1970,1,1,3,Medium-High,0.26849251697235316,0,Low,0.26375404530744334,0,Medium-High,2062323895663743.8,0,Low,2.396061701651858e+16,0,Low,0.4620181405895692,0,Low,0.10945474080042977,0,Low,0.08074103427778878,0,Low,0.06172839506172839,0,Low,0.2920100322465066,0,Medium-Low,1.1013513513513513,0,Low,,1,Low,,1,Low,0.0,1,,,0,,,0,,,0,,,0,0.6163333333333333,5.547,9,8.666666666666666,78,9,-0.23217191029387038,-2.0895471926448335,9,0.8178333333333333,4.907,6,7.166666666666667,43,6,-0.216418131719899,-1.298508790319394,6,0.8178333333333333,4.907,6,7.166666666666667,43,6,-0.216418131719899,-1.298508790319394,6
MEDCHAL,DUNDIGAL GANDIMAISAMMA,DUNDIGAL,M/S. SARGARI JEEVENDER REDDY,ENGINEERING AND FABRICATION UNITS (DRY PROCESS WITHOUT ANY HEAT TREATMENT / METAL SURFACE FINISHING OPERATIONS / PAINTING),ENGINEERING,0.25,6,2025-08-28,,YET TO START CONSTRUCTION,YES,GENERAL,-0.2608127748973353,-0.2802882320255417,3,6,6,6,5,5,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,0,0,0,2025,8,28,3,,,,,1970,1,1,3,1970,1,1,3,Low,0.06971658625164966,0,Medium-Low,0.31650485436893205,0,Low,2622728760028767.0,0,Medium-Low,2.2243878302807576e+16,0,Low,0.2772108843537415,0,Low,0.1313456889605157,0,Low,0.09688924113334654,0,Low,0.07407407407407407,0,Low,0.2920100322465066,0,Medium-Low,1.1013513513513513,0,Low,,1,Low,,1,Low,0.0,1,,,0,,,0,,,0,,,0,1.8676578947368423,35.4855,19,18.42105263157895,350,19,-0.13434019781484946,-2.5524637584821397,19,0.18333333333333335,0.55,3,7.333333333333333,22,3,-0.2660249431600223,-0.7980748294800668,3,0.15,0.3,2,9.0,18,2,-0.26863102729136573,-0.5372620545827315,2
MEDCHAL,MEDCHAL,YADARAM,GEEAAR POLY PACK,CARDBOARD OR CORRUGATED BOX AND PAPER PRODUCTS (EXCLUDING PAPER OR PULP MANUFACTURING AND WITHOUT USING BOILERS),PAPER AND PRINTING,7.7,8,2025-08-14,,YET TO START CONSTRUCTION,YES,GENERAL,0.3216470284579336,-0.23702404469584162,3,7,7,7,6,6,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000002,0,0,0,2025,8,14,3,,,,,1970,1,1,3,1970,1,1,3,High,2.147270856550809,0,Medium-Low,0.42200647249190937,0,High,-3234476963202743.0,0,Medium-Low,1.8810400875385572e+16,0,Low,0.2772108843537415,0,Low,0.15323663712060168,0,Low,0.1130374479889043,0,Low,0.08641975308641975,0,Low,0.35041203869580795,0,Medium-High,1.3216216216216214,0,Low,,1,Low,,1,Low,0.0,1,,,0,,,0,,,0,,,0,1.8676578947368423,35.4855,19,18.42105263157895,350,19,-0.13434019781484946,-2.5524637584821397,19,3.95,7.9,2,5.0,10,2,0.028462563681791564,0.05692512736358313,2,7.7,7.7,1,8.0,8,1,0.3216470284579336,0.3216470284579336,1
MAHABUBABAD,MARIPEDA,MARIPEDA,HEMADURGA RICE INDUSTRIES,RICE MILL (RICE HULLERS ONLY),FOOD PROCESSING,8.9939,12,2025-08-19,,YET TO START CONSTRUCTION,YES,GENERAL,0.42280739618429364,-0.15049567003644143,6,8,8,8,7,1,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000002,0,0,0,2025,8,19,1,,,,,1970,1,1,3,1970,1,1,3,High,2.5080960203548472,0,Medium-High,0.6330097087378641,0,High,-4251743873979823.5,0,Medium-High,1.1943446020541568e+16,0,Medium-Low,0.554421768707483,0,Low,0.17512758528068764,0,Low,0.12918565484446207,0,Low,0.09876543209876543,0,Low,0.4088140451451093,0,Low,0.22027027027027024,0,Low,,1,Low,,1,Low,0.0,1,,,0,,,0,,,0,,,0,2.797675,22.3814,8,9.375,75,8,-0.06162911321771988,-0.49303290574175906,8,8.9939,8.9939,1,12.0,12,1,0.42280739618429364,0.42280739618429364,1,8.9939,8.9939,1,12.0,12,1,0.42280739618429364,0.42280739618429364,1
NALGONDA,CHITYALA,VELIMINEDU,CIVENTICHEM (INDIA) PRIVATE LIMITED,ORGANIC CHEMICALSMANUFACTURING,PHARMACEUTICALS AND CHEMICALS,10.0,150,2025-02-10,,YET TO START CONSTRUCTION,YES,GENERAL,0.501466833520634,2.834733255712865,7,9,9,9,8,7,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000002,0,0,0,2025,2,10,0,,,,,1970,1,1,3,1970,1,1,3,High,2.788663450065986,0,High,7.9126213592233015,0,High,-5042741817354753.0,0,High,-2.249664964715766e+17,0,Medium-Low,0.6468253968253969,0,Low,0.19701853344077358,0,Low,0.14533386170001983,0,Low,0.1111111111111111,0,Medium-Low,0.4672160515944106,0,Medium-High,1.5418918918918918,0,Low,,1,Low,,1,Low,0.0,1,,,0,,,0,,,0,,,0,2.7304,10.9216,4,42.5,170,4,-0.06688884251580388,-0.2675553700632155,4,10.0,10.0,1,150.0,150,1,0.501466833520634,0.501466833520634,1,10.0,10.0,1,150.0,150,1,0.501466833520634,0.501466833520634,1
